     K07T24U* C2007 10 11.26838 00 43 17.43 -14 27 58.9          20.3 Vrv8884703
     K07T24U  C2008 01 27.75368 00 45 23.22 -01 54 25.2          15.0 Rox5520473
     K07T24U  C2008 01 27.77851 00 45 51.63 -01 36 40.8          15.6 Rrx5520480
     K07T24U  C2008 01 27.86923 00 46 57.43 -00 20 29.5          14.9 Rcx5520J76
     K07T24U  C2008 01 27.87037 00 46 58.47 -00 19 31.8          14.8 Rcx5520J76
     K07T24U  C2008 01 27.87151 00 46 59.48 -00 18 33.3          14.8 Rcx5520J76
     K07T24U  C2008 01 28.03425 00 50 24.61 +02 14 24.4          14.7 Rrx5520H45
     K07T24U  C2008 01 28.03464 00 50 24.96 +02 14 47.8          14.7 Rrx5520H45
     K07T24U  C2008 01 28.03548 00 50 25.77 +02 15 40.4          14.6 Rrx5520H45
     K07T24U  C2008 01 28.03614 00 50 26.37 +02 16 20.6          14.7 Rrx5520H45
     K07T24U  C2008 01 28.03653 00 50 26.73 +02 16 44.8          14.5 Rrx5520H45
     K07T24U  C2008 01 28.03692 00 50 27.11 +02 17 08.2          14.6 Rrx5520H45
     K07T24U  C2008 01 28.03774 00 50 27.89 +02 17 59.0          14.8 Rrx5520H45
     K07T24U  C2008 01 28.03822 00 50 28.37 +02 18 28.9          14.7 Rrx5520H45
     K07T24U  C2008 01 28.03870 00 50 28.79 +02 18 58.1          15.0 Rrx5520H45
     K07T24U  C2008 01 28.03937 00 50 29.47 +02 19 40.1          14.5 Rrx5520H45
     K07T24U  C2008 01 28.04086 00 50 30.89 +02 21 12.3          14.6 Rrx5520H45
     K07T24U  C2008 01 28.04120 00 50 31.20 +02 21 33.3          14.6 Rrx5520H45
     K07T24U  C2008 01 28.04165 00 50 31.65 +02 22 01.0          14.6 Rrx5520H45
     K07T24U  C2008 01 28.04207 00 50 32.05 +02 22 26.7          15.0 Rrx5520H45
     K07T24U  C2008 01 28.04262 00 50 32.57 +02 23 01.4          14.4 Rrx5520H45
     K07T24U  C2008 01 28.04295 00 50 32.90 +02 23 21.8          14.5 Rrx5520H45
     K07T24U  C2008 01 28.04366 00 50 33.60 +02 24 06.4          14.6 Rrx5520H45
     K07T24U  C2008 01 28.04421 00 50 34.11 +02 24 40.0          14.6 Rrx5520H45
     K07T24U  C2008 01 28.04455 00 50 34.45 +02 25 01.4          14.6 Rrx5520H45
     K07T24U  C2008 01 28.04506 00 50 34.93 +02 25 33.0          14.5 Rrx5521H45
     K07T24U  C2008 01 28.04553 00 50 35.38 +02 26 02.2          14.5 Rrx5521H45
     K07T24U  C2008 01 28.04608 00 50 35.90 +02 26 36.7          14.6 Rrx5521H45
     K07T24U  C2008 01 28.04656 00 50 36.39 +02 27 06.4          14.5 Rrx5521H45
     K07T24U  C2008 01 28.04724 00 50 37.07 +02 27 49.2          14.4 Rrx5521H45
     K07T24U  C2008 01 28.04778 00 50 37.58 +02 28 23.0          14.6 Rrx5521H45
     K07T24U  C2008 01 28.04829 00 50 38.06 +02 28 54.9          14.7 Rrx5521H45
     K07T24U  C2008 01 28.04987 00 50 39.62 +02 30 33.0          14.5 Rrx5521H45
     K07T24U  C2008 01 28.05128 00 50 41.00 +02 32 01.6          14.3 Rrx5521H45
     K07T24U  C2008 01 28.41554 01 00 22.53 +11 00 43.8          12.6 Vrx5521432
     K07T24U  C2008 01 28.41565 01 00 22.78 +11 00 54.5          12.7 Vrx5521432
     K07T24U  C2008 01 28.41584 01 00 23.10 +11 01 14.4          12.5 Vrx5521432
     K07T24U  C2008 01 28.72404 01 15 34.97 +21 19 04.8          13.0 Rcx5521143
     K07T24U  C2008 01 28.72753 01 15 46.12 +21 28 03.7          13.0 Rcx5521143
     K07T24U  C2008 01 28.73698 01 16 13.56 +21 52 57.5          13.0 Vcx5521560
     K07T24U  C2008 01 28.73765 01 16 15.84 +21 54 43.3          12.9 Vcx5521560
     K07T24U  C2008 01 28.73886 01 16 19.72 +21 57 53.0          13.1 Vcx5521560
     K07T24U  C2008 01 28.74124 01 16 30.82 +22 03 48.1          12.8 Rcx5521143
     K07T24U  C2008 01 28.75017 01 17 00.76 +22 27 25.8          13.1 Rcx5521143
     K07T24U  C2008 01 28.75093 01 17 04.63 +22 28 54.8          13.0 Vox5521151
     K07T24U  C2008 01 28.75233 01 17 09.40 +22 32 38.2          12.8 Vox5521151
     K07T24U  C2008 01 28.75364 01 17 12.59 +22 36 40.6          13.1 Rcx5521143
     K07T24U  C2008 01 28.77189 01 18 10.35 +23 25 43.6          12.9 Vcx6349595
     K07T24U  C2008 01 28.77467 01 18 20.40 +23 33 19.7          12.8 Vcx6349595
     K07T24U  C2008 01 28.79181 01 19 29.54 +24 21 09.1                rx5521204
     K07T24U  C2008 01 28.79185 01 19 29.97 +24 21 28.4                rx5521204
     K07T24U  C2008 01 28.79200 01 19 30.42 +24 21 47.9                rx5521204
     K07T24U  C2008 01 28.79211 01 19 30.85 +24 22 07.3                rx5521204
     K07T24U  C2008 01 28.79223 01 19 31.28 +24 22 26.6          12.4 Rrx5521204
     K07T24U  C2008 01 28.84198 01 22 45.58 +26 44 23.0          12.0 Rox6349629
     K07T24U  C2008 01 28.84214 01 22 46.39 +26 44 56.4                ox6349629
     K07T24U  C2008 01 28.84231 01 22 47.15 +26 45 26.5                ox6349629
     K07T24U  C2008 01 28.84250 01 22 48.02 +26 46 00.3                ox6349629
     K07T24U  C2008 01 28.84267 01 22 48.82 +26 46 31.5                ox6349629
     K07T24U  C2008 01 28.84285 01 22 49.59 +26 47 02.8                ox6349629
     K07T24U  C2008 01 28.84302 01 22 50.42 +26 47 35.8                ox6349629
     K07T24U  C2008 01 28.84319 01 22 51.18 +26 48 06.4                ox6349629
     K07T24U  C2008 01 28.84337 01 22 51.97 +26 48 37.6                ox6349629
     K07T24U  C2008 01 28.84359 01 22 52.83 +26 49 12.1                ox6349629
     K07T24U  C2008 01 28.84377 01 22 53.67 +26 49 45.5                ox6349629
     K07T24U  C2008 01 28.84395 01 22 54.45 +26 50 16.3                ox6349629
     K07T24U  C2008 01 28.84413 01 22 55.29 +26 50 49.3                ox6349629
     K07T24U  C2008 01 28.84431 01 22 56.14 +26 51 23.3                ox6349629
     K07T24U  C2008 01 28.84449 01 22 57.02 +26 51 58.3                ox6349629
     K07T24U  C2008 01 28.84469 01 22 57.79 +26 52 28.8                ox6349629
     K07T24U  C2008 01 28.84486 01 22 58.56 +26 53 00.3                ox6349629
     K07T24U  C2008 01 28.84506 01 22 59.46 +26 53 34.6                ox6349629
     K07T24U  C2008 01 28.84524 01 23 00.27 +26 54 07.3                ox6349629
     K07T24U  C2008 01 28.87553 01 25 25.41 +28 27 33.1          12.0 Vcx6349595
     K07T24U  C2008 01 28.87822 01 25 38.55 +28 35 53.5          12.0 Vcx6349595
     K07T24U  C2008 01 28.89663 01 27 13.08 +29 34 36.4                rx5521204
     K07T24U  C2008 01 28.89691 01 27 14.71 +29 35 36.2                rx5521204
     K07T24U  C2008 01 28.89722 01 27 16.33 +29 36 36.0                rx5521204
     K07T24U  C2008 01 28.89758 01 27 18.20 +29 37 44.7                rx5521204
     K07T24U  C2008 01 28.89791 01 27 19.83 +29 38 44.1          11.5 Rrx5521204
     K07T24U  C2008 01 29.72036 07 29 42.91 +72 36 04.6          10.8 Vcx5521A78
     K07T24U  C2008 01 29.72353 07 32 23.89 +72 34 19.5          10.8 Vcx5521A78
     K07T24U  C2008 01 29.72793 07 36 04.46 +72 31 40.3          10.5 Vcx5521A78
