     K08S11V* C2008 09 25.26245 23 28 05.01 -09 27 00.6          20.7 Vrz8086G96
     K08S11V  C2009 04 01.16349309 14 36.01 +41 22 55.7          13.3 Vo~05t3H55
     K08S11V  C2009 04 01.16537909 14 43.60 +41 21 42.0          13.3 Vo~05t3H55
     K08S11V  C2009 04 01.16914509 14 58.73 +41 19 15.0          13.3 Vo~05t3H55
     K08S11V  C2009 04 01.17122409 15 07.09 +41 17 53.4          13.3 Vo~05t3H55
     K08S11V  C2009 04 01.87649 09 56 18.44 +33 37 20.0          13.6 Co~05t3J41
     K08S11V  C2009 04 01.87661 09 56 18.78 +33 37 15.6          13.5 Co~05t3J41
     K08S11V  C2009 04 01.87672 09 56 19.09 +33 37 11.3          13.6 Co~05t3J41
     K08S11V  C2009 04 01.87694 09 56 19.75 +33 37 02.6          13.6 Co~05t3J41
     K08S11V  C2009 04 01.87706 09 56 20.08 +33 36 58.2          13.6 Co~05t3J41
     K08S11V  C2009 04 01.87718 09 56 20.40 +33 36 54.0          13.7 Co~05t3J41
     K08S11V  C2009 04 01.87741 09 56 21.04 +33 36 45.3          13.5 Co~05t3J41
     K08S11V  C2009 04 01.90608 09 57 42.96 +33 18 26.7          13.4 Co~05t3J41
     K08S11V  C2009 04 01.90619 09 57 43.27 +33 18 22.2          13.5 Co~05t3J41
     K08S11V  C2009 04 01.90639 09 57 43.93 +33 18 13.4          13.5 Co~05t3J41
     K08S11V  C2009 04 01.90662 09 57 44.56 +33 18 04.8          13.5 Co~05t3J41
     K08S11V  C2009 04 01.90672 09 57 44.88 +33 18 00.6          13.5 Co~05t3J41
     K08S11V  C2009 04 01.90696 09 57 45.51 +33 17 52.0          13.4 Co~05t3J41
     K08S11V  C2009 04 02.04098 10 03 54.39 +31 52 39.8          13.3 Vw~05t3J93
     K08S11V  C2009 04 02.04134 10 03 55.35 +31 52 25.8          13.3 Vw~05t3J93
     K08S11V  C2009 04 02.04171 10 03 56.34 +31 52 11.8          13.3 Vw~05t3J93
     K08S11V  C2009 04 02.50939 10 23 11.60 +27 11 37.7          13.1 Vr~05t3379
     K08S11V  C2009 04 02.51284 10 23 18.94 +27 09 39.0          13.1 Vr~05t3379
     K08S11V  C2009 04 02.51778 10 23 29.41 +27 06 48.1          13.2 Vr~05t3379
     K08S11V  C2009 04 02.51854 10 23 31.02 +27 06 21.7          12.9 Vr~05t3379
     K08S11V  C2009 04 02.51867 10 23 31.29 +27 06 17.7          13.1 Vr~05t3379
     K08S11V  C2009 04 02.51905 10 23 32.11 +27 06 04.4          13.1 Vr~05t3379
     K08S11V  C2009 04 02.51956 10 23 33.20 +27 05 47.3          13.1 Vr~05t3379
     K08S11V  C2009 04 02.52007 10 23 34.26 +27 05 29.4          13.0 Vr~05t3379
     K08S11V  C2009 04 02.52032 10 23 34.78 +27 05 20.4          13.1 Vr~05t3379
     K08S11V  C2009 04 02.52058 10 23 35.35 +27 05 11.9          13.1 Vr~05t3379
     K08S11V  C2009 04 02.52083 10 23 35.87 +27 05 03.4          13.1 Vr~05t3379
     K08S11V  C2009 04 02.52160 10 23 37.49 +27 04 36.8          13.1 Vr~05t3379
     K08S11V  C2009 04 02.52185 10 23 38.04 +27 04 28.1          13.1 Vr~05t3379
     K08S11V  C2009 04 02.52834 10 23 51.72 +27 00 44.0          13.1 Vr~05t3379
     K08S11V  C2009 04 02.52872 10 23 52.48 +27 00 30.9          13.2 Vr~05t3379
     K08S11V  C2009 04 02.52983 10 23 54.84 +26 59 52.8          13.1 Vr~05t3379
     K08S11V  C2009 04 02.53020 10 23 55.62 +26 59 39.6          13.1 Vr~05t3379
     K08S11V  C2009 04 02.53094 10 23 57.16 +26 59 14.3          13.1 Vr~05t3379
     K08S11V  C2009 04 02.53168 10 23 58.72 +26 58 48.7          13.1 Vr~05t3379
     K08S11V  C2009 04 02.79901 10 33 13.73 +24 29 29.4          12.8 Cr~068KA81
     K08S11V  C2009 04 02.79963 10 33 14.91 +24 29 09.2          12.9 Cr~068KA81
     K08S11V  C2009 04 02.80026 10 33 16.10 +24 28 48.9          13.0 Cr~068LA81
     K08S11V  C2009 04 02.80090 10 33 17.28 +24 28 28.7          13.0 Cr~068LA81
     K08S11V  C2009 04 02.80152 10 33 18.46 +24 28 08.3          12.9 Cr~068LA81
     K08S11V  C2009 04 02.80215 10 33 19.64 +24 27 48.0          12.9 Cr~068LA81
     K08S11V  C2009 04 02.80278 10 33 20.82 +24 27 27.9          12.8 Cr~068LA81
     K08S11V  C2009 04 02.80341 10 33 22.00 +24 27 07.7          12.9 Cr~068LA81
     K08S11V  C2009 04 02.80404 10 33 23.18 +24 26 47.4          12.9 Cr~068LA81
     K08S11V  C2009 04 02.80467 10 33 24.36 +24 26 27.1          12.9 Cr~068LA81
     K08S11V  C2009 04 02.80531 10 33 25.53 +24 26 06.8          12.9 Cr~068LA81
     K08S11V  C2009 04 02.80594 10 33 26.72 +24 25 46.4          12.9 Cr~068LA81
     K08S11V  C2009 04 02.81439610 33 42.63 +24 20 53.0          13.1 Vo~05t3198
     K08S11V  C2009 04 02.81454 10 33 42.07 +24 20 44.0          13.3 Rr~05t3113
     K08S11V  C2009 04 02.81472 10 33 42.41 +24 20 38.3          13.3 Rr~05t3113
     K08S11V  C2009 04 02.81489 10 33 42.74 +24 20 32.7          13.3 Rr~05t3113
     K08S11V  C2009 04 02.81506 10 33 43.07 +24 20 27.0          13.3 Rr~05t3113
     K08S11V  C2009 04 02.81524 10 33 43.39 +24 20 21.5          13.3 Rr~05t3113
     K08S11V  C2009 04 02.81543 10 33 43.79 +24 20 14.6          13.3 Rr~05t3113
     K08S11V  C2009 04 02.82313110 33 58.92 +24 16 12.6          13.1 Vo~05t3198
     K08S11V kC2009 04 02.82518210 33 58.98 +24 15 16.0                r~0UsU089
     K08S11V kC2009 04 02.82600210 34 00.49 +24 14 49.3                r~0UsU089
     K08S11V kC2009 04 02.82682110 34 02.00 +24 14 22.9                r~0UsU089
     K08S11V  C2009 04 02.83189510 34 15.23 +24 11 31.9          13.1 Vo~05t3198
     K08S11V  C2009 04 02.84066510 34 31.44 +24 06 51.6          13.1 Vo~05t3198
     K08S11V  C2009 04 02.84945310 34 47.66 +24 02 11.2          13.1 Vo~05t3198
     K08S11V  C2009 04 02.85825310 35 03.78 +23 57 30.8          13.1 Vo~05t3198
     K08S11V  C2009 04 02.86702410 35 19.84 +23 52 51.8          13.1 Vo~05t3198
     K08S11V kC2009 04 02.89091210 35 59.35 +23 40 14.4                r~0UsU089
     K08S11V kC2009 04 02.89172810 36 00.83 +23 39 48.7                r~0UsU089
     K08S11V kC2009 04 02.89254510 36 02.29 +23 39 22.8                r~0UsU089
     K08S11V  C2009 04 02.94956 10 37 47.98 +23 09 12.0          12.8 Ro~06BQA32
     K08S11V  C2009 04 02.95034 10 37 49.39 +23 08 47.2          12.9 Ro~06BQA32
     K08S11V  C2009 04 02.95112 10 37 50.76 +23 08 22.9          12.7 Ro~06BQA32
     K08S11V  C2009 04 02.95191 10 37 52.15 +23 07 58.4          12.8 Ro~06BQA32
     K08S11V  C2009 04 02.95308 10 37 54.21 +23 07 21.8          12.8 Ro~06BQA32
     K08S11V kC2009 04 02.95802610 37 59.51 +23 04 56.9                r~0UsU089
     K08S11V kC2009 04 02.95884010 38 00.94 +23 04 31.3                r~0UsU089
     K08S11V kC2009 04 02.95965510 38 02.38 +23 04 05.8                r~0UsU089
     K08S11V kC2009 04 02.96293710 38 08.21 +23 02 23.0                r~0UsU089
     K08S11V kC2009 04 02.96375210 38 09.62 +23 01 57.5                r~0UsU089
     K08S11V kC2009 04 02.96456610 38 11.08 +23 01 32.1                r~0UsU089
     K08S11V  C2009 04 02.96787 10 38 20.31 +22 59 51.1          13.1 Vo~068L510
     K08S11V  C2009 04 02.96940 10 38 22.99 +22 59 03.6          12.9 Vo~068L510
     K08S11V  C2009 04 02.97094 10 38 25.69 +22 58 15.7          13.1 Vo~068L510
     K08S11V kC2009 04 03.01673610 39 42.82 +22 34 29.4                r~0UsU089
     K08S11V kC2009 04 03.01754510 39 44.22 +22 34 04.3                r~0UsU089
     K08S11V kC2009 04 03.01835510 39 45.64 +22 33 39.1                r~0UsU089
     K08S11V  C2009 04 03.03812 10 40 22.66 +22 23 28.2          12.7 Ro~06BQA32
     K08S11V  C2009 04 03.03890 10 40 23.98 +22 23 04.3          12.7 Ro~06BQA32
