     K07C19A  C2007 03 14.00158 08 19 51.35 +11 09 21.0          17.1 Rcu3160A24
     K07C19A  C2007 03 14.01301 08 19 48.09 +11 09 42.2          17.6 Rcv1552A24
     K07C19A  C2007 03 14.02526 08 19 44.61 +11 10 04.8          17.6 Rcv1552A24
     K07C19A  C2007 03 14.03724 08 19 41.22 +11 10 26.8          17.4 Rcv1552A24
     K07C19A  C2007 03 14.05030 08 19 37.53 +11 10 50.7          17.5 Rcv1552A24
     K07C19A  C2007 03 14.80981 08 16 05.51 +11 34 19.8          18.4 Rru3160113
     K07C19A  C2007 03 14.81070 08 16 05.24 +11 34 21.5          18.5 Rru3160113
     K07C19A  C2007 03 14.81157 08 16 05.00 +11 34 23.5          17.9 Rru3160113
     K07C19A  C2007 03 14.81245 08 16 04.75 +11 34 25.2          17.9 Rru3160113
     K07C19A  C2007 03 14.81332 08 16 04.50 +11 34 27.1          17.2 Rru3160113
     K07C19A  C2007 03 14.89350 08 15 41.44 +11 36 57.7          17.6 Rcv1855A24
     K07C19A  C2007 03 14.90004 08 15 39.58 +11 37 08.9          18.3 Rcu4657A53
     K07C19A  C2007 03 14.90581 08 15 37.87 +11 37 20.6          17.9 Rcv1855A24
     K07C19A  C2007 03 14.91064 08 15 36.51 +11 37 28.7          18.4 Rcu4657A53
     K07C19A  C2007 03 14.91757 08 15 34.51 +11 37 42.1          18.1 Rcv1855A24
     K07C19A  C2007 03 14.93013 08 15 30.88 +11 38 05.6          18.1 Rcv1855A24
     K07C19A  C2007 03 14.93804 08 15 28.68 +11 38 19.4          18.5 Rcu4657A53
