     K07Y00Z* C2007 12 17.66571 07 33 05.21 +20 25 59.4          18.4 Rox1902300
     K07Y00Z  C2008 01 03.07752 06 33 52.94 +51 09 15.4          15.7 Rox2677H51
     K07Y00Z  C2008 01 03.07832 06 33 52.50 +51 09 23.4          15.7 Rox2677H51
     K07Y00Z  C2008 01 03.07910 06 33 52.02 +51 09 31.4          15.7 Rox2677H51
     K07Y00Z  C2008 01 03.07990 06 33 51.56 +51 09 39.6          15.7 Rox2677H51
     K07Y00Z  C2008 01 03.08068 06 33 51.10 +51 09 47.8          15.7 Rox2677H51
     K07Y00Z  C2008 01 03.08148 06 33 50.64 +51 09 55.8          15.7 Rox2677H51
     K07Y00Z  C2008 01 03.08227 06 33 50.17 +51 10 04.1          15.7 Rox2677H51
     K07Y00Z  C2008 01 03.08306 06 33 49.70 +51 10 12.2          15.8 Rox2677H51
     K07Y00Z  C2008 01 03.08385 06 33 49.24 +51 10 20.4          15.7 Rox2677H51
     K07Y00Z  C2008 01 03.08465 06 33 48.80 +51 10 28.4          15.7 Rox2677H51
     K07Y00Z  C2008 01 03.37031 06 30 54.43 +51 58 43.1          16.6 Rrx2677H45
     K07Y00Z  C2008 01 03.37106 06 30 53.93 +51 58 50.5          16.9 Rrx2677H45
     K07Y00Z  C2008 01 03.37183 06 30 53.45 +51 58 58.4          16.6 Rrx2677H45
     K07Y00Z  C2008 01 03.37254 06 30 53.01 +51 59 05.3          16.8 Rrx2677H45
     K07Y00Z  C2008 01 03.37424 06 30 51.99 +51 59 22.1          16.8 Rrx2677H45
     K07Y00Z  C2008 01 03.37480 06 30 51.63 +51 59 27.8          17.0 Rrx2677H45
     K07Y00Z  C2008 01 03.37567 06 30 51.08 +51 59 36.2          16.9 Rrx2677H45
     K07Y00Z  C2008 01 03.37741 06 30 50.01 +51 59 53.6          16.8 Rrx2677H45
     K07Y00Z  C2008 01 03.51043 06 29 38.07 +52 22 29.1          16.2 Vox2677379
     K07Y00Z  C2008 01 03.51302 06 29 36.41 +52 22 55.4          16.1 Vox2677379
     K07Y00Z  C2008 01 03.53437 06 29 22.64 +52 26 35.4          15.9 Vox2677379
     K07Y00Z  C2008 01 03.53616 06 29 21.47 +52 26 53.8          16.0 Vox2677379
     K07Y00Z  C2008 01 03.53794 06 29 20.35 +52 27 12.1          16.0 Vox2677379
     K07Y00Z  C2008 01 03.68472 06 27 43.86 +52 52 01.9          15.8 Vox2677379
     K07Y00Z  C2008 01 04.33762 06 20 29.83 +54 43 15.2          15.9 Rrx2677H45
     K07Y00Z  C2008 01 04.33891 06 20 28.86 +54 43 28.4          15.9 Rrx2677H45
     K07Y00Z  C2008 01 04.34038 06 20 27.80 +54 43 43.0          15.9 Rrx2677H45
     K07Y00Z  C2008 01 04.34111 06 20 27.25 +54 43 50.6          16.0 Rrx2677H45
     K07Y00Z  C2008 01 04.34147 06 20 27.00 +54 43 54.0          15.9 Rrx2677H45
     K07Y00Z  C2008 01 04.34250 06 20 26.23 +54 44 04.6          15.9 Rrx2677H45
     K07Y00Z  C2008 01 04.34361 06 20 25.41 +54 44 15.7          15.9 Rrx2677H45
     K07Y00Z  C2008 01 04.34480 06 20 24.54 +54 44 27.7          15.8 Rrx2677H45
     K07Y00Z  C2008 01 04.34560 06 20 23.94 +54 44 35.8          15.8 Rrx2677H45
     K07Y00Z  C2008 01 05.19057 06 09 47.99 +57 09 19.4          16.3 R x3495726
     K07Y00Z  C2008 01 05.19431 06 09 44.87 +57 09 58.3          15.6 R x3495726
     K07Y00Z  C2008 01 05.19722 06 09 42.34 +57 10 28.5                 x3495726
     K07Y00Z  C2008 01 05.20012 06 09 39.82 +57 10 58.5                 x3495726
     K07Y00Z  C2008 01 05.20302 06 09 37.38 +57 11 28.4                 x3495726
     K07Y00Z  C2008 01 05.78788 06 01 12.48 +58 51 29.0          16.5 Vox3495B34
     K07Y00Z  C2008 01 05.79571 06 01 05.07 +58 52 50.8          16.2 Vox3495B34
     K07Y00Z  C2008 01 05.80703 06 00 54.15 +58 54 48.0          16.3 Vox3495B34
     K07Y00Z  C2008 01 05.94194 05 58 46.42 +59 17 26.0          16.5 Vox3495J66
     K07Y00Z  C2008 01 05.94325 05 58 45.12 +59 17 39.8          16.3 Vox3495J66
     K07Y00Z  C2008 01 05.94720 05 58 41.25 +59 18 20.0          16.3 Vox3495J66
     K07Y00Z  C2008 01 05.94852 05 58 39.96 +59 18 33.4          16.3 Vox3495J66
     K07Y00Z  C2008 01 06.01248 05 57 36.81 +59 29 22.2          16.2 Vox3495J66
     K07Y00Z  C2008 01 06.01380 05 57 35.51 +59 29 35.5          16.2 Vox3495J66
     K07Y00Z  C2008 01 06.01897 05 57 30.37 +59 30 27.8          16.2 Vox3495J66
     K07Y00Z  C2008 01 06.02138 05 57 27.96 +59 30 52.2          16.2 Vox3495J66
     K07Y00Z  C2008 01 06.46709 05 50 09.45 +60 46 10.6          16.3 Vmx4362379
     K07Y00Z  C2008 01 06.47998 05 49 55.31 +60 48 21.6          16.8 Vmx4362379
     K07Y00Z  C2008 01 06.48176 05 49 53.39 +60 48 39.7          16.1 Vmx4362379
     K07Y00Z  C2008 01 06.49045 05 49 43.96 +60 50 08.8          17.0 Vmx4362379
     K07Y00Z  C2008 01 06.49223 05 49 42.02 +60 50 26.8          16.7 Vmx4362379
     K07Y00Z  C2008 01 06.49403 05 49 40.07 +60 50 45.4          16.1 Vmx4362379
     K07Y00Z  C2008 01 06.63294 05 47 05.14 +61 13 55.2          16.3 Vmx4362379
     K07Y00Z  C2008 01 06.63472 05 47 03.05 +61 14 13.3          16.2 Vmx4362379
     K07Y00Z  C2008 01 06.85336 05 43 12.88 +61 50 18.0          16.3 Rox3495J51
     K07Y00Z  C2008 01 06.85685 05 43 08.82 +61 50 53.4          16.3 Rox3495J51
     K07Y00Z  C2008 01 06.86034 05 43 04.78 +61 51 28.9          16.4 Rox3495J51
     K07Y00Z  C2008 01 08.49149 05 06 54.27 +66 07 12.9          16.5 Vmx4362379
     K07Y00Z  C2008 01 08.51410 05 06 17.75 +66 10 32.8          16.4 Vmx4362379
     K07Y00Z  C2008 01 08.51588 05 06 14.75 +66 10 48.8          16.3 Vmx4362379
     K07Y00Z  C2008 01 09.01006 04 52 52.52 +67 20 10.3          16.4 Rrx3495726
     K07Y00Z  C2008 01 09.01379 04 52 44.42 +67 20 50.5          17.1 Rrx3495726
     K07Y00Z  C2008 01 09.01669 04 52 41.07 +67 21 06.0          16.4 Rrx3495726
     K07Y00Z  C2008 01 09.01958 04 52 35.93 +67 21 30.1          16.8 Rrx3495726
     K07Y00Z  C2008 01 09.02250 04 52 30.93 +67 21 55.2          16.5 Rrx3495726
     K07Y00Z  C2008 01 09.02541 04 52 25.74 +67 22 19.7          16.4 Rrx3495726
     K07Y00Z  C2008 01 09.30833 04 43 50.11 +68 00 17.5          16.0 Rrx3495H45
     K07Y00Z  C2008 01 09.30934 04 43 48.22 +68 00 25.2          16.3 Rrx3495H45
     K07Y00Z  C2008 01 09.31034 04 43 46.38 +68 00 32.4          16.1 Rrx3495H45
     K07Y00Z  C2008 01 09.31084 04 43 45.41 +68 00 36.6          16.3 Rrx3495H45
