G3818K03R07X* C2003 09 06.26545 22 54 08.97 +25 11 23.6          18.2 Roi4170699
G3818K03R07X  C2003 10 27.81893 21 32 35.48 +07 37 02.0          18.7 Vri9433240
G3818K03R07X  C2003 10 27.82252 21 32 35.50 +07 36 56.3          19.0 Vri9433240
G3818K03R07X  C2003 11 05.78299 21 35 18.34 +04 08 46.1          18.6 Vrj0488240
G3818K03R07X  C2003 11 05.79107 21 35 18.61 +04 08 34.9          18.8 Vrj0488240
G3818K03R07X  C2003 11 05.80275 21 35 19.02 +04 08 19.6          18.6 Vrj0488240
G3818K03R07X  C2003 11 19.07044 21 47 27.82 -00 16 35.9          18.9  cj0981704
G3818K03R07X  C2003 11 19.08307 21 47 28.70 -00 16 50.0          18.8  cj0981704
G3818K03R07X  C2003 11 19.09557 21 47 29.53 -00 17 03.4          18.9  cj0981704
G3818K03R07X  C2003 11 19.10802 21 47 30.37 -00 17 17.2          19.4  cj0981704
G3818K03R07X  C2003 11 19.12077 21 47 31.22 -00 17 31.5          19.6  cj0981704
G3818K03R07X  C2003 12 13.06328 22 26 19.84 -07 02 08.9          19.2  cj3707704
G3818K03R07X  C2003 12 13.07629 22 26 21.26 -07 02 22.3          19.7  cj3707704
G3818K03R07X  C2003 12 13.10264 22 26 24.07 -07 02 47.4          19.8  cj3707704
G3818K03R07X  C2003 12 13.11562 22 26 25.46 -07 03 02.0          19.2  cj3707704
G3818K03R07X 1C2003 12 24.46979 22 48 31.261-10 35 44.77         19.5 Rrj4700413
G3818K03R07X 1C2003 12 24.47569 22 48 31.942-10 35 52.02         19.5 Rrj4700413
G3818K03R07X  C2004 03 29.69152 19 35 11.74 -43 39 24.5          17.7 Rck3155474
G3818K03R07X  C2004 03 29.69429 19 35 11.45 -43 39 20.6          17.7 Rck3155474
G3818K03R07X  C2004 03 29.69590 19 35 11.33 -43 39 18.3          17.7 Rck3155474
G3818K03R07X 1C2004 03 29.80674 19 35 01.335-43 36 42.70         18.3 Rrk3155413
G3818K03R07X 1C2004 03 30.80397 19 33 35.624-43 12 01.80         18.6 Rrk3155413
G3818K03R07X 1C2004 03 30.80537 19 33 35.489-43 11 59.76         18.8 Rrk3155413
G3818K03R07X 1C2004 03 30.80675 19 33 35.355-43 11 57.73         18.6 Rrk3155413
G3818K03R07X  C2004 04 04.31796 19 27 16.42 -41 20 28.6          18.3 Rrk3857859
G3818K03R07X  C2004 04 04.32431 19 27 15.78 -41 20 19.4          18.5 Rrk3857859
G3818K03R07X  C2004 04 04.32527 19 27 15.67 -41 20 18.0          18.3 Rrk3857859
G3818K03R07X  C2004 04 04.33126 19 27 15.09 -41 20 09.9          18.5 Rrk3857859
G3818K03R07X  C2004 04 17.66564 19 06 16.78 -35 47 53.7          18.7 Rrk5104E17
G3818K03R07X  C2004 04 17.67021 19 06 16.22 -35 47 47.0          18.6 Rrk5104E17
G3818K03R07X  C2004 04 17.67321 19 06 15.89 -35 47 42.9          18.5 Rrk5104E17
G3818K03R07X  C2004 04 18.33338 19 04 59.62 -35 31 06.9          17.9 Rrk5104859
G3818K03R07X  C2004 04 18.33681 19 04 59.16 -35 31 01.7          18.0 Rrk5104859
G3818K03R07X  C2004 04 18.33985 19 04 58.77 -35 30 56.7          18.5 Rrk5105859
G3818K03R07X  C2004 04 24.67472 18 51 36.70 -32 45 51.2          18.2 Rrk6250E17
G3818K03R07X  C2004 04 24.67773 18 51 36.26 -32 45 46.1          18.1 Rrk6250E17
G3818K03R07X  C2004 04 24.68072 18 51 35.79 -32 45 41.5          18.3 Rrk6250E17
G3818K03R07X  C2004 04 25.28712 18 50 09.56 -32 29 36.7          17.9 Rrk6250859
G3818K03R07X  C2004 04 25.28987 18 50 09.13 -32 29 33.0          17.4 Rrk6250859
G3818K03R07X  C2004 04 30.67001 18 36 26.65 -30 01 36.6          19.1 Rrk6250E17
G3818K03R07X  C2004 04 30.67299 18 36 26.13 -30 01 31.3          19.8 Rrk6250E17
