     K06R00Z  C2006 09 20.66618 22 13 18.43 +21 13 24.6          17.8 Vrr9471379
     K06R00Z  C2006 09 20.67402 22 13 17.67 +21 13 33.3          17.6 Vrr9471379
     K06R00Z  C2006 09 20.77521 22 13 14.49 +21 15 19.1          17.5 Vor9471151
     K06R00Z  C2006 09 20.77621 22 13 14.38 +21 15 20.4          17.6 Vor9471151
     K06R00Z  C2006 09 20.77720 22 13 14.28 +21 15 21.7          17.7 Vor9471151
     K06R00Z  C2006 09 20.77906 22 13 14.12 +21 15 24.0          17.5 Vor9471151
     K06R00Z  C2006 09 20.77996 22 13 14.04 +21 15 25.1          17.7 Vor9471151
     K06R00Z  C2006 09 20.78086 22 13 13.96 +21 15 26.3          17.7 Vor9471151
     K06R00Z  C2006 09 20.78441 22 13 13.31 +21 15 27.7          17.0 Rrr9471113
     K06R00Z  C2006 09 20.78560 22 13 13.19 +21 15 29.0          17.3 Rrr9471113
     K06R00Z  C2006 09 20.78677 22 13 13.07 +21 15 30.7          17.3 Rrr9471113
     K06R00Z  C2006 09 20.78794 22 13 12.95 +21 15 32.2          17.0 Rrr9471113
