     K07V12D  C2007 11 24.65491 07 08 53.69 +20 44 00.8          13.0 Vrw9161379
     K07V12D 2C2012 07 18.61035903 22 19.605-02 01 56.88         22.6 Rt~0hs8568
     K07V12D 2C2012 07 18.61110203 22 19.716-02 01 56.37         22.6 Rt~0hs8568
     K07V12D 2C2012 07 18.61179903 22 19.809-02 01 56.02         22.6 Rt~0hs8568
     K07V12D 2C2012 07 18.61259103 22 19.929-02 01 55.52         22.5 Rt~0hs8568
     K07V12D 2C2012 07 18.61334803 22 20.027-02 01 55.13         22.5 Rt~0hs8568
     K07V12D 2C2012 07 18.61403703 22 20.136-02 01 54.61         22.3 Rt~0hs8568
     K07V12D 2C2012 07 18.61482603 22 20.250-02 01 54.21         22.4 Rt~0hs8568
     K07V12D 2C2012 07 18.61559603 22 20.351-02 01 53.81         22.4 Rt~0hs8568
     K07V12D 2C2012 07 18.61628203 22 20.449-02 01 53.39         22.5 Rt~0hs8568
     K07V12D 2C2012 07 18.61724103 22 20.586-02 01 52.86         22.3 Rt~0hs8568
     K07V12D 2C2012 07 18.61792903 22 20.691-02 01 52.37         22.4 Rt~0hs8568
     K07V12D 2C2012 07 18.61862603 22 20.783-02 01 52.07         22.4 Rt~0hs8568
     K07V12D 2C2012 07 23.59712003 34 22.253-01 13 50.51         22.2 Rt~0hs8568
     K07V12D 2C2012 07 23.60115303 34 22.828-01 13 48.19         22.5 Rt~0hs8568
     K07V12D 2C2012 07 23.60518303 34 23.410-01 13 45.87         22.4 Rt~0hs8568
