     K08S82H* C2008 09 26.21299 21 58 45.98 +05 04 54.4          20.6 Vrz8163G96
     K08S82H  C2009 01 05.60770 05 40 43.89 +11 45 30.8          17.7 Vr~034H379
     K08S82H  C2009 01 05.61813 05 40 49.35 +11 45 18.3          17.5 Vr~034H379
     K08S82H  C2009 01 06.59284 05 49 21.74 +11 26 48.1          17.8 Vr~034H379
     K08S82H  C2009 01 06.59506 05 49 22.76 +11 26 45.7                r~034H379
     K08S82H  C2009 01 06.60547 05 49 27.73 +11 26 33.8                r~034H379
     K08S82H  C2009 01 06.61367 05 49 31.66 +11 26 24.3                r~034H379
     K08S82H  C2009 01 06.61589 05 49 32.69 +11 26 21.6                r~034H379
     K08S82H  C2009 01 06.63451 05 49 41.56 +11 26 00.5                r~034H379
     K08S82H  C2009 01 09.21738 06 09 13.60 +10 42 30.4          18.5 Vo~034HH55
     K08S82H  C2009 01 09.21850 06 09 14.02 +10 42 29.4          18.6 Vo~034HH55
