h5548K08Q03T  C2008 11 25.04678 21 24 05.29 +01 35 34.4          19.1 Vo~01gTH55
h5548K08Q03T  C2008 11 25.04864 21 24 05.54 +01 35 34.4          19.0 Vo~01gTH55
h5548K08Q03T  C2008 11 25.05049 21 24 05.73 +01 35 34.5          19.4 Vo~01gTH55
h5548K08Q03T  C2008 11 27.05082 21 28 35.46 +01 37 50.9          19.0 Rr~01gTH45
h5548K08Q03T  C2008 11 27.05722 21 28 36.30 +01 37 51.4          19.0 Rr~01gTH45
h5548K08Q03T  C2008 11 27.06012 21 28 36.67 +01 37 51.5          18.8 Rr~01gTH45
h5548K08Q03T  C2008 11 27.06134 21 28 36.82 +01 37 51.6          19.0 Rr~01gTH45
h5548K08Q03T  C2008 11 27.06272 21 28 37.00 +01 37 51.6          18.9 Rr~01gTH45
h5548K08Q03T  C2008 12 13.01077 22 15 13.70 +01 51 30.1          19.3 Vo~02MnH55
h5548K08Q03T  C2008 12 13.01380 22 15 14.33 +01 51 30.1          19.2 Vo~02MnH55
h5548K08Q03T  C2008 12 13.01532 22 15 14.62 +01 51 30.1          19.3 Vo~02MnH55
h5548K08Q03T  C2008 12 17.72406 22 34 09.80 +01 48 14.8          18.4  r~0GWAC20
h5548K08Q03T  C2008 12 19.72983 22 43 18.47 +01 44 56.4          19.0  r~0GWAC20
h5548K08Q03T  C2008 12 19.73269 22 43 19.24 +01 44 56.3          19.4  r~0GWAC20
h5548K08Q03T  C2008 12 19.79262 22 43 36.78 +01 44 49.3          18.7 Vc~02PzB23
h5548K08Q03T  C2008 12 21.72397 22 53 11.70 +01 40 15.9          19.1 Vc~02Pz560
h5548K08Q03T  C2008 12 21.72733 22 53 12.68 +01 40 15.2          19.1 Vc~02Pz560
h5548K08Q03T  C2008 12 21.72976 22 53 13.38 +01 40 14.4          19.2 Vc~02Pz560
h5548K08Q03T  C2008 12 22.12676 22 55 16.50 +01 39 16.3          19.0 Vr~02Pz703
h5548K08Q03T  C2008 12 22.13279 22 55 18.30 +01 39 15.4          18.9 Vr~02Pz703
h5548K08Q03T  C2008 12 22.13881 22 55 20.17 +01 39 14.1          18.6 Vr~02Pz703
h5548K08Q03T  C2008 12 22.14484 22 55 22.00 +01 39 12.7          18.8 Vr~02Pz703
h5548K08Q03T  C2008 12 28.71043 23 35 39.01 +01 10 33.4          18.5 Rr~02fA113
h5548K08Q03T  C2008 12 28.71629 23 35 41.46 +01 10 30.4          18.5 Rr~02fA113
h5548K08Q03T  C2008 12 28.72213 23 35 43.86 +01 10 28.9          18.6 Rr~02fA113
h5548K08Q03T  C2008 12 28.78010 23 36 08.13 +01 10 06.8          18.4 Cr~02fAB15
h5548K08Q03T  C2008 12 28.78242 23 36 09.10 +01 10 06.1          18.4 Cr~02fAB15
h5548K08Q03T  C2008 12 28.78474 23 36 10.07 +01 10 05.2          18.5 Cr~02fAB15
h5548K08Q03T  C2008 12 28.78937 23 36 12.02 +01 10 03.6          18.6 Cr~02fAB15
h5548K08Q03T  C2008 12 28.79449 23 36 14.17 +01 10 01.6          18.6 Cr~02fAB15
h5548K08Q03T  C2008 12 30.04422 23 45 28.45 +01 02 14.9          19.0 Vo~02fAH55
h5548K08Q03T  C2008 12 30.04568 23 45 29.11 +01 02 14.4          18.8 Vo~02fAH55
h5548K08Q03T  C2008 12 30.04889 23 45 30.51 +01 02 13.0          18.8 Vo~02fAH55
h5548K08Q03T  C2008 12 30.05075 23 45 31.34 +01 02 12.2          18.7 Vo~02fAH55
h5548K08Q03T  C2008 12 30.07080 23 45 40.89 +01 02 09.1          18.6  c~02fA704
h5548K08Q03T  C2008 12 30.08379 23 45 46.64 +01 02 03.6          18.6  c~02fA704
h5548K08Q03T  C2008 12 30.09660 23 45 52.32 +01 01 58.4          19.0  c~02fA704
h5548K08Q03T  C2008 12 30.10931 23 45 57.91 +01 01 53.2          18.8  c~02fA704
h5548K08Q03T  C2008 12 30.12205 23 46 03.55 +01 01 48.1          18.9  c~02fA704
h5548K08Q03T  C2008 12 31.09709 23 53 42.45 +00 54 58.1          18.9  c~02fA704
h5548K08Q03T  C2008 12 31.10903 23 53 48.05 +00 54 52.6          18.8  c~02fA704
h5548K08Q03T  C2008 12 31.12110 23 53 53.65 +00 54 47.9          18.7  c~02fA704
h5548K08Q03T  C2009 01 01.02679 00 01 21.02 +00 47 52.9          18.9 Vo~02fAH55
h5548K08Q03T  C2009 01 01.02993 00 01 22.55 +00 47 51.4          19.0 Vo~02fAH55
h5548K08Q03T  C2009 01 01.03306 00 01 24.07 +00 47 49.9          18.8 Vo~02fAH55
h5548K08Q03T  C2009 01 01.03621 00 01 25.61 +00 47 48.3          18.7 Vo~02fAH55
h5548K08Q03T  C2009 01 03.01495300 18 53.67 +00 31 11.4          18.3 Vo~034AH55
h5548K08Q03T  C2009 01 03.01650600 18 54.51 +00 31 10.7          18.3 Vo~034BH55
h5548K08Q03T  C2009 01 03.01805600 18 55.36 +00 31 09.7          18.5 Vo~034BH55
h5548K08Q03T  C2009 01 03.01960600 18 56.18 +00 31 09.1          18.3 Vo~034BH55
h5548K08Q03T  C2009 01 03.02115700 18 57.00 +00 31 08.1          18.3 Vo~034BH55
h5548K08Q03T  C2009 01 04.79158 00 36 01.38 +00 14 19.5          17.7 Cr~034BA81
h5548K08Q03T  C2009 01 04.79764 00 36 04.92 +00 14 15.8          18.2 Cr~034BA81
h5548K08Q03T  C2009 01 04.80370 00 36 08.52 +00 14 12.9          17.8 Cr~034BA81
h5548K08Q03T  C2009 01 09.03455401 22 42.35 -00 32 01.4          17.8 Vo~034BH55
h5548K08Q03T  C2009 01 09.03744501 22 44.36 -00 32 03.3          17.8 Vo~034BH55
