     K07D84S* C2007 02 27.34015 11 33 13.39 +52 16 25.0          18.9 Vru1659703
     K07D84S 1C2007 04 01.91862 13 59 20.544+45 59 35.2                rz2459084
     K07D84S 1C2007 04 01.91967 13 59 21.123+45 59 29.2                rz2459084
     K07D84S 1C2007 04 01.92073 13 59 21.616+45 59 23.4                rz2459084
     K07D84S  C2007 04 02.37515 14 03 24.32 +45 16 54.1          17.0 Rru5963H45
     K07D84S  C2007 04 02.37743 14 03 25.44 +45 16 39.8          17.1 Rru5963H45
     K07D84S  C2007 04 02.37824 14 03 25.85 +45 16 35.0          17.1 Rru5963H45
     K07D84S  C2007 04 02.37950 14 03 26.43 +45 16 27.3          17.0 Rru5963H45
     K07D84S  C2007 04 02.38051 14 03 26.94 +45 16 21.4          16.9 Rru5963H45
     K07D84S  C2007 04 02.38144 14 03 27.40 +45 16 15.4          17.1 Rru5963H45
     K07D84S  C2007 04 02.38238 14 03 27.87 +45 16 09.7          17.0 Rru5963H45
     K07D84S  C2007 04 02.86068 14 08 06.00 +44 26 19.5          17.1 Vou5963198
     K07D84S  C2007 04 02.86160 14 08 06.50 +44 26 13.9          17.1 Vou5963198
     K07D84S  C2007 04 02.86344 14 08 07.49 +44 26 02.8          17.1 Vou5963198
     K07D84S  C2007 04 02.86492 14 08 08.28 +44 25 53.9          17.1 Vou5963198
     K07D84S  C2007 04 02.86621 14 08 08.98 +44 25 46.2          17.1 Vou5963198
     K07D84S  C2007 04 02.95963 14 08 58.07 +44 16 22.5          16.8 Rcu5963A53
     K07D84S  C2007 04 02.96439 14 09 00.52 +44 15 53.2          16.6 Rcu5963A53
     K07D84S  C2007 04 02.96951 14 09 03.09 +44 15 21.1          16.5 Rcu5963A53
     K07D84S  C2007 04 03.62132 14 15 15.99 +43 02 29.0          16.8 Vou5963379
     K07D84S  C2007 04 03.65146 14 15 31.46 +42 58 59.4                ou5963379
     K07D84S  C2007 04 03.65437 14 15 32.96 +42 58 38.9                ou5963379
     K07D84S  C2007 04 03.65729 14 15 34.46 +42 58 18.7                ou5963379
     K07D84S  C2007 04 03.65875 14 15 35.18 +42 58 07.8                ou5963379
     K07D84S 1C2007 04 04.01551 14 19 00.070+42 13 46.9                rz2459084
     K07D84S 1C2007 04 04.01765 14 19 01.233+42 13 30.5                rz2459084
     K07D84S 1C2007 04 04.02275 14 19 04.033+42 12 52.1                rz2459084
     K07D84S 1C2007 04 04.02381 14 19 04.536+42 12 47.6                rz2459084
     K07D84S  C2007 04 04.61049 14 24 58.37 +40 57 31.9          17.0 Vru5963379
     K07D84S  C2007 04 04.62188 14 25 04.48 +40 56 02.5          16.6 Vru5963379
     K07D84S  C2007 04 04.62771 14 25 07.60 +40 55 15.8          17.1 Vru5963379
     K07D84S  C2007 04 04.62917 14 25 08.36 +40 55 04.4          17.0 Vru5963379
     K07D84S  C2007 04 04.63064 14 25 09.14 +40 54 53.1          16.7 Vru5963379
     K07D84S  C2007 04 04.63550 14 25 11.74 +40 54 14.2          16.8 Vru5963379
     K07D84S  C2007 04 04.63696 14 25 12.52 +40 54 02.1          16.7 Vru5963379
     K07D84S  C2007 04 04.64279 14 25 15.64 +40 53 15.5          16.5 Vru5963379
     K07D84S  C2007 04 04.64795 14 25 18.39 +40 52 34.1          16.7 Vru5963379
     K07D84S  C2007 04 04.64942 14 25 19.19 +40 52 22.0          16.7 Vru5963379
     K07D84S  C2007 04 04.65089 14 25 19.93 +40 52 10.3          16.7 Vru5963379
     K07D84S  C2007 04 04.65381 14 25 21.47 +40 51 46.9          16.8 Vru5963379
     K07D84S  C2007 04 04.65527 14 25 22.26 +40 51 35.1          17.0 Vru5963379
     K07D84S  C2007 04 04.83177 14 27 14.13 +40 25 53.5          16.5 Rru5963113
     K07D84S  C2007 04 04.83231 14 27 14.47 +40 25 49.4          16.1 Rru5963113
     K07D84S  C2007 04 04.83278 14 27 14.73 +40 25 46.4          16.4 Rru5963113
     K07D84S  C2007 04 04.83443 14 27 15.69 +40 25 32.3          16.3 Rru5963113
     K07D84S  C2007 04 04.83499 14 27 16.01 +40 25 28.0          16.3 Rru5963113
     K07D84S  C2007 04 04.83545 14 27 16.28 +40 25 24.6          16.6 Rru5963113
     K07D84S  C2007 04 04.87615 14 27 41.07 +40 19 49.9          16.4 Rou6974B24
     K07D84S  C2007 04 04.87670 14 27 41.47 +40 19 45.8          16.2 Rou6974B24
     K07D84S  C2007 04 04.87787 14 27 42.01 +40 19 35.7          16.5 Rou6974B24
     K07D84S  C2007 04 04.88514 14 27 46.38 +40 18 37.2          16.0 Rou6974B24
     K07D84S  C2007 04 04.88516 14 27 45.59 +40 18 54.1          16.5 Rru5963473
     K07D84S  C2007 04 04.88566 14 27 46.58 +40 18 34.2          16.1 Rou6974B24
