g3709K06B06Q* C2006 01 22.43948 09 13 10.34 +16 16 28.9          20.1 Vrq0604G96
g3709K06B06Q  C2006 08 13.59225 22 25 25.79 +31 39 50.8          16.7 Vrr5748379
g3709K06B06Q  C2006 08 13.59850 22 25 23.36 +31 39 42.3          17.0 Vrr5748379
g3709K06B06Q  C2006 08 13.61369 22 25 17.48 +31 39 21.8          16.8 Vrr5748379
g3709K06B06Q  C2006 08 13.61494 22 25 17.02 +31 39 20.1          16.4 Vrr5748379
g3709K06B06Q  C2006 08 13.61618 22 25 16.54 +31 39 18.5          16.6 Vrr5748379
g3709K06B06Q  C2006 08 14.94590 22 18 01.35 +31 08 22.3          15.8 Rcr6072A53
g3709K06B06Q  C2006 08 14.94810 22 18 00.65 +31 08 19.6          15.9 Rcr6072A53
g3709K06B06Q  C2006 08 14.95031 22 17 59.89 +31 08 16.9          15.9 Rcr6072A53
g3709K06B06Q  C2006 08 14.95251 22 17 59.15 +31 08 14.2          15.9 Rcr6072A53
g3709K06B06Q  C2006 08 14.95471 22 17 58.45 +31 08 10.5          15.9 Rcr6072A53
g3709K06B06Q  C2006 08 17.18392 22 07 59.55 +30 18 40.6          18.2 R r5748H67
g3709K06B06Q  C2006 08 17.19450 22 07 56.78 +30 18 28.0          17.4 R r5748H67
g3709K06B06Q  C2006 08 17.20712 22 07 53.50 +30 18 13.5          16.1 R r5748H67
g3709K06B06Q  C2006 08 17.21751 22 07 50.72 +30 17 59.0          17.1 R r5748H67
g3709K06B06Q  C2006 08 17.35071 22 07 16.56 +30 15 11.6          17.2 Rrr5748H45
g3709K06B06Q  C2006 08 17.35170 22 07 16.31 +30 15 10.2          17.3 Rrr5748H45
g3709K06B06Q  C2006 08 17.35242 22 07 16.12 +30 15 09.2          17.2 Rrr5748H45
g3709K06B06Q  C2006 08 17.35321 22 07 15.92 +30 15 08.2          17.4 Rrr5748H45
g3709K06B06Q  C2006 08 17.35383 22 07 15.76 +30 15 07.3          17.3 Rrr5748H45
g3709K06B06Q  C2006 08 17.35443 22 07 15.59 +30 15 06.5          17.4 Rrr5748H45
g3709K06B06Q  C2006 08 18.85403 22 01 54.87 +29 42 54.4                or6072J86
g3709K06B06Q  C2006 08 18.87218 22 01 50.94 +29 42 33.7                or6072J86
g3709K06B06Q  C2006 08 18.87432 22 01 50.49 +29 42 31.4                or6072J86
g3709K06B06Q  C2006 08 19.04402 22 01 12.94 +29 39 06.4                or6072J86
g3709K06B06Q  C2006 08 19.04639 22 01 12.40 +29 39 03.4                or6072J86
g3709K06B06Q  C2006 08 19.06088 22 01 09.20 +29 38 44.7                or6072J86
g3709K06B06Q  C2006 08 19.18183 22 00 43.18 +29 36 01.4                or6072J86
g3709K06B06Q  C2006 08 19.19531 22 00 40.39 +29 35 42.7                or6072J86
