     K08K05Z* C2008 05 29.22802 16 23 31.01 +04 06 01.4          20.1 Voz0620691
     K08K05Z  C2008 10 18.21090 00 52 37.54 -47 57 43.2          18.2 Ro~00Ab304
     K08K05Z  C2008 10 18.21289 00 52 38.12 -47 57 34.5          18.3 Ro~00Ab304
     K08K05Z  C2008 10 18.21490 00 52 38.69 -47 57 25.9          18.5 Ro~00Ab304
     K08K05Z  C2008 10 18.21689 00 52 39.29 -47 57 16.7          17.9 Ro~00Ab304
     K08K05Z  C2008 10 18.21888 00 52 39.87 -47 57 08.0          18.5 Ro~00Ab304
     K08K05Z  C2008 10 18.22088 00 52 40.41 -47 56 59.5          18.6 Ro~00Ab304
     K08K05Z  C2008 10 18.22287 00 52 41.02 -47 56 50.5          18.3 Ro~00Ab304
     K08K05Z  C2008 10 18.57455 00 54 31.06 -47 31 24.6          18.1 Vr~00AbE12
     K08K05Z  C2008 10 18.58516 00 54 34.09 -47 30 37.6          17.9 Vr~00AbE12
     K08K05Z  C2008 10 18.59579 00 54 37.00 -47 29 52.1          18.2 Vr~00AbE12
     K08K05Z  C2008 10 18.60640 00 54 40.03 -47 29 05.5          18.6 Vr~00AbE12
     K08K05Z  C2008 11 22.07349 02 06 49.32 -17 32 52.1          20.4 Vo~01yNH55
     K08K05Z  C2008 11 22.07946 02 06 49.68 -17 32 39.0          20.2 Vo~01yNH55
     K08K05Z  C2008 11 22.08604 02 06 50.05 -17 32 24.8          20.1 Vo~01yNH55
     K08K05Z KC2013 04 13.18013 16 53 41.01 -06 40 03.0          20.8 R ~0r5dJ04
     K08K05Z KC2013 04 13.19519 16 53 41.60 -06 39 54.3          21.1 R ~0r5dJ04
     K08K05Z KC2013 04 13.20995 16 53 42.12 -06 39 45.8          20.9 R ~0r5dJ04
     K08K05Z KC2013 04 14.17608 16 54 22.48 -06 30 09.9          21.4 R ~0r5dJ04
     K08K05Z KC2013 04 14.19112 16 54 23.05 -06 30 00.4          21.3 R ~0r5dJ04
     K08K05Z KC2013 04 14.20630 16 54 23.62 -06 29 52.2          21.2 R ~0r5dJ04
     K08K05Z KC2013 05 20.28685516 56 27.74 +01 26 46.2          20.2 Vu~0ryqH21
     K08K05Z KC2013 05 20.29260316 56 27.49 +01 26 51.3          19.7 Vu~0ryqH21
     K08K05Z KC2013 05 20.29840216 56 27.18 +01 26 56.4          19.9 Vu~0ryqH21
     K08K05Z  C2013 06 06.30023 16 38 48.77 +05 26 04.2          19.6 Vo~0sPK691
     K08K05Z  C2013 06 06.31787 16 38 47.20 +05 26 16.7          19.8 Vo~0sPK691
     K08K05Z  C2013 06 06.33552 16 38 45.64 +05 26 29.2          19.7 Vo~0sPK691
     K08K05Z KC2013 06 13.01365 16 29 05.69 +06 36 33.1          19.4 Rt~0so2204
     K08K05Z KC2013 06 13.02325 16 29 04.75 +06 36 38.3                t~0so2204
     K08K05Z  C2013 06 14.31371 16 27 06.70 +06 47 43.4          19.8 Vo~0sbg691
     K08K05Z  C2013 06 14.33480 16 27 04.60 +06 47 53.9          19.8 Vo~0sbg691
     K08K05Z  C2013 06 14.35246 16 27 02.84 +06 48 02.0          19.9 Vo~0sbg691
     K08K05Z KC2013 06 18.00500 16 21 22.36 +07 13 48.6          18.7 Ro~0so2B67
     K08K05Z KC2013 06 18.01244 16 21 21.64 +07 13 51.2          18.5 Ro~0so2B67
     K08K05Z KC2013 06 18.01989 16 21 20.88 +07 13 53.7          18.6 Ro~0so2B67
     K08K05Z  C2013 06 18.29211 16 20 55.63 +07 15 35.5          19.6 Vo~0so2691
     K08K05Z  C2013 06 18.30977 16 20 53.82 +07 15 41.2          19.7 Vo~0so2691
     K08K05Z  C2013 06 18.32742 16 20 52.02 +07 15 47.3          19.7 Vo~0so2691
     K08K05Z  C2013 06 26.39650 16 08 19.397+07 40 41.07         19.2 iL~0sw5F51
     K08K05Z  C2013 06 26.40753 16 08 18.277+07 40 41.23         19.4 iL~0sw5F51
     K08K05Z KC2013 07 06.89702 15 53 37.57 +07 00 28.8          19.4  q~0t68151
     K08K05Z KC2013 07 06.90282 15 53 37.08 +07 00 24.8          19.8  q~0t68151
     K08K05Z |C2013 08 11.02496 15 37 40.62 -07 07 02.8          19.1 Vu~0tb6807
     K08K05Z |C2013 08 11.02741 15 37 40.62 -07 07 09.6          19.7 Vu~0tb6807
     K08K05Z |C2013 08 11.02956 15 37 40.64 -07 07 15.6          19.7 Vu~0tb6807
     K08K05Z |C2013 08 11.03186 15 37 40.68 -07 07 21.7          19.1 Vu~0tb6807
     K08K05Z |C2013 08 11.03417 15 37 40.70 -07 07 27.8          19.7 Vu~0tb6807
     K08K05Z |C2013 08 11.96720 15 38 03.74 -07 50 52.0          19.0 Vu~0tb6807
     K08K05Z |C2013 08 11.97060 15 38 03.76 -07 51 01.8          19.0 Vu~0tb6807
     K08K05Z |C2013 08 11.97428 15 38 03.75 -07 51 12.1          19.0 Vu~0tb6807
     K08K05Z  C2013 08 24.99973 15 47 58.22 -21 43 11.3          18.6 Rr~0tllY00
     K08K05Z  C2013 08 25.00101 15 47 58.25 -21 43 17.3          19.0 Rr~0tllY00
     K08K05Z  C2013 08 25.00228 15 47 58.30 -21 43 23.3          19.2 Rr~0tllY00
     K08K05Z  C2013 09 07.00798 16 16 32.04 -47 16 27.3          18.7 Rr~0uGDY00
     K08K05Z  C2013 09 07.00868 16 16 32.22 -47 16 32.5          18.3 Rr~0uGDY00
     K08K05Z  C2013 09 07.00939 16 16 32.36 -47 16 39.5          18.4 Rr~0uGDY00
     K08K05Z  C2013 10 05.99858 02 21 20.56 -54 33 19.6          17.9 Rr~0vGmY00
     K08K05Z  C2013 10 05.99968 02 21 20.81 -54 33 14.8          18.0 Rr~0vGmY00
     K08K05Z  C2013 10 06.00078 02 21 20.95 -54 33 09.3          17.9 Rr~0vGmY00
     K08K05Z  C2013 10 10.20231 02 29 50.80 -48 42 56.5          17.4 Rr~0vGmY00
     K08K05Z  C2013 10 10.20574 02 29 50.99 -48 42 42.4          17.7 Rr~0vGmY00
     K08K05Z  C2013 10 10.20931 02 29 51.32 -48 42 25.1          17.4 Rr~0vGmY00
     K08K05Z  C2013 10 14.07940 02 34 24.64 -44 03 40.6          18.4 Rr~0vGmY00
     K08K05Z  C2013 10 14.08085 02 34 24.65 -44 03 35.1          18.4 Rr~0vGmY00
     K08K05Z  C2013 10 14.08264 02 34 24.71 -44 03 28.6          18.3 Rr~0vGmY00
     K08K05Z  C2013 10 24.98474 02 39 00.51 -33 36 00.8          19.0 Rr~0vqlY00
     K08K05Z  C2013 10 24.98678 02 39 00.57 -33 35 54.8          18.8 Rr~0vqlY00
     K08K05Z  C2013 10 24.98927 02 39 00.49 -33 35 47.0          19.0 Rr~0vqlY00
     K08K05Z  C2013 11 10.26795 02 39 03.76 -21 57 32.5          19.1 Vq~0x77703
     K08K05Z  C2013 11 10.27299 02 39 03.67 -21 57 21.2          18.7 Vq~0x77703
     K08K05Z  C2013 11 10.28308 02 39 03.64 -21 56 58.2          19.2 Vq~0x77703
     K08K05Z  C2013 11 10.31904 02 39 03.25 -21 55 36.7          18.9 Vq~0x77703
     K08K05Z  C2013 11 10.32508 02 39 03.21 -21 55 23.2          19.2 Vq~0x77703
     K08K05Z  C2013 11 10.33114 02 39 03.18 -21 55 08.3          19.4 Vq~0x77703
     K08K05Z  C2013 11 10.33718 02 39 03.09 -21 54 55.7          19.0 Vq~0x77703
     K08K05Z |C2013 12 11.10168 02 48 09.39 -06 04 56.7          21.2 Vu~0y5j807
     K08K05Z |C2013 12 11.10720 02 48 09.58 -06 04 48.4          21.0 Vu~0y5j807
     K08K05Z |C2013 12 11.11270 02 48 09.76 -06 04 40.1          20.9 Vu~0y5j807
